,Item,Unit_Retail,Unit_Retail,Unit_Retail,Unit_Retail,Unit_Retail,Total_units,Total_units,Total_units,Total_units,Total_units,Item,Slope,Intercept,R_squared,predicted_min_quantity,predicted_max_quantity,predicted_median_quantity,predicted_average_quantity,min_avg_elasticity,max_avg_elasticity,avg_elasticity
21,1312000286,4.8356940754781785,2548.410777777,1.99,5.99,4.99,3.7381404174573056,1970.0,1.0,84.0,3.0,527,-1.6509460952752557,11.721610669313694,0.08209055706311442,8.436227939715936,1.8324435586149121,3.4833896538901676,3.7381404174573074,-0.9256211616773072,-3.208395643854388,-2.0670084027658477
22,1312000291,9.576792452830189,2537.85,7.99,10.49,8.99,1.4339622641509433,380.0,1.0,6.0,1.0,265,-0.08147802426962722,2.2142603920478243,0.008029392134665993,1.5632509781335027,1.359555917459435,1.4817729538638758,1.4339622641509435,-0.47754611571123023,-0.5852843963029944,-0.5314152560071124
23,1312000392,4.8560507812500004,1864.7235,2.99,5.99,4.99,2.609375,1002.0,1.0,57.0,2.0,384,-1.2946178316351826,8.89610493273221,0.07212956197341736,5.025197616143014,1.1413441212374664,2.435961952872649,2.609375000000001,-1.3304788309752225,-3.7436796225877544,-2.5370792267814886
24,1312000469,4.831771009586294,1903.717777777,2.823333333,5.99,4.99,2.3730964467005076,935.0,1.0,21.0,2.0,394,-0.6074819744020041,5.3083102394623545,0.06452803427012668,3.5931861319365233,1.6694932127943498,2.2769751871963537,2.3730964467005076,-0.7794364143828442,-1.626192953813499,-1.2028146840981715
25,1312000483,4.767571206994924,1878.423055556,1.99,5.99,4.99,2.1294416243654823,839.0,1.0,30.0,2.0,394,-0.794326185920669,5.916448277322962,0.10233301461913881,4.335739167340831,1.1584344236581545,1.9527606095788235,2.129441624365484,-0.8302499088386581,-2.59894849495885,-1.714599201898754
26,1312000484,4.68546052631579,1424.38,1.99,5.99,4.99,2.361842105263158,718.0,1.0,36.0,2.0,304,-1.2469959224469704,8.204592276365185,0.1530830884648129,5.723070390695714,0.7350867009078312,1.9820826233548017,2.3618421052631584,-1.0296057082785086,-4.298534638585545,-2.664070173432027
27,1312000800,4.782646945088167,2061.320833333,1.99,5.99,4.99,2.593967517401392,1118.0,1.0,41.0,2.0,431,-1.0919469275856313,7.816364154817222,0.09759876943301654,5.643389768921816,1.2756020585792909,2.3675489861649224,2.593967517401393,-0.8977844187467802,-3.0399140014616637,-1.9688492101042219
28,1312000828,4.78068345323741,1993.545,2.823333333,5.99,4.99,2.2278177458033572,929.0,1.0,45.0,2.0,417,-0.9330781652017633,6.68856909076055,0.07461620013023341,4.054178404651932,1.0994308812019877,2.032509046403751,2.2278177458033577,-1.1294406843199978,-3.020480487375255,-2.0749605858476263
29,1312000833,4.76436485195702,1662.763333333,2.99,5.99,4.99,2.510028653295129,876.0,1.0,47.0,2.0,349,-1.1705425788293362,8.086920573588749,0.07014906067527141,4.586998262889034,1.0753705264010245,2.245913105230361,2.51002865329513,-1.2789600966982997,-3.5110294102728496,-2.394994753485575
30,1312001036,4.803183890577508,1580.2475000000002,2.823333333,5.99,4.99,2.765957446808511,910.0,1.0,62.0,2.0,329,-1.3066267696817455,9.041926097941198,0.07761573083713892,5.352883185308613,1.2152317475475423,2.5218585172292878,2.7659574468085104,-1.2273934192457148,-3.5423242436001385,-2.3848588314229264
31,1312001176,4.834637395460001,1450.391218638,1.99,5.99,4.99,2.066666666666667,620.0,1.0,31.0,2.0,300,-0.781229639915593,5.843628698244343,0.06473715461945392,4.288981714812313,1.1640631551499405,1.9452927950655337,2.0666666666666664,-0.8388772781305163,-2.6175285588929444,-1.7282029185117302
32,1312001203,10.339397590361445,3432.68,7.99,10.99,10.29,1.569277108433735,521.0,1.0,5.0,1.0,332,0.02074331841349527,1.3548036920131419,0.00035244875906743033,1.520542806136969,1.582772761377455,1.568252438488008,1.5692771084337351,0.12305329794511594,0.14036658811220123,0.13170994302865857
33,1312001251,1.8153164556962025,286.82,1.35,1.89,1.89,2.0,316.0,1.0,7.0,2.0,158,-0.03248978696570108,2.0589792449209012,8.260115330263086e-06,2.0151180325172047,1.9975735475557261,1.9975735475557261,2.0,-0.025613308622990466,-0.03011450342412928,-0.027863906023559874
34,1312001260,4.805422794117647,1960.6125000000002,2.99,5.99,4.99,2.264705882352941,924.0,1.0,38.0,2.0,408,-0.8546719874685625,6.371766132428204,0.07432485176956533,3.816296889897202,1.2522809274915145,2.106952914960077,2.264705882352942,-1.0956300699302162,-2.6234233887900227,-1.8595267293601194
35,1312001261,5.037027022360082,2447.995132867,2.99,5.99,5.28,3.3724279835390947,1639.0,1.0,81.0,2.0,486,-1.939973831026698,13.144128593091985,0.12495728453650436,7.343606838322157,1.523685345242063,2.9010667652710183,3.3724279835390956,-1.453170190577824,-4.369209293349464,-2.911189741963644
36,1312001280,4.859614180341463,2191.685995334,2.99,5.99,4.99,2.9135254988913526,1314.0,1.0,37.0,2.0,451,-1.2690414292669692,9.080577223997915,0.11138236465330162,5.286143350489677,1.4790190626887698,2.748060491955739,2.913525498891354,-1.2148643782567834,-3.134540741338033,-2.1747025597974083
37,1312001417,4.818537076466395,2365.901704545,2.823333333,5.99,4.99,3.2892057026476578,1615.0,1.0,88.0,2.0,491,-1.5047646557137662,10.539969987560632,0.06353765196582524,6.291517776763687,1.5264296998351714,3.031194355548938,3.289205702647659,-1.2002451088815316,-3.3773953410702426,-2.288820224975887
38,1312001790,1.8265413533834587,242.93,1.35,1.89,1.89,2.293233082706767,305.0,1.0,12.0,2.0,133,0.9876811787800246,0.489192565706531,0.005658312977499699,1.8225621570595643,2.3559099936007772,2.3559099936007772,2.293233082706767,0.7622852755258526,0.789555813758665,0.7759205446422588
39,1312004686,4.805396984924623,1912.548,2.99,5.99,4.99,4.635678391959799,1845.0,1.0,15.0,4.0,398,-0.8364752763580785,8.655274162934901,0.04311752920304996,6.154213086624246,3.6447872575500107,4.481262533908089,4.6356783919598,-0.6043301603383185,-1.0905283662271525,-0.8474292632827356
40,1380003053,17.740375939849624,2359.47,14.99,18.69,18.49,1.2030075187969924,160.0,1.0,4.0,1.0,133,-0.04549014646960387,2.0100198187265885,0.011219426259893221,1.3281225231472265,1.1598089812096921,1.168907010503613,1.2030075187969926,-0.5882390753678118,-0.7013761489484274,-0.6448076121581197
41,1380004708,3.8447685185185185,830.47,2.49,3.99,3.99,2.2314814814814814,482.0,1.0,8.0,2.0,216,0.036606456499719976,2.0907381299568404,0.00012614114413247548,2.181888206641143,2.236797891390723,2.236797891390723,2.2314814814814814,0.052543395318325935,0.06418647739435497,0.05836493635634045
42,1380004717,3.7472463768115944,1034.24,1.99,3.99,3.99,2.221014492753623,613.0,1.0,11.0,2.0,276,-1.2742903191935775,6.996094274357847,0.18891253084713763,4.460256539162628,1.9116759007754727,1.9116759007754727,2.221014492753623,-1.0942405242768012,-2.3857335576418772,-1.7399870409593392
43,1380004718,3.557683823529412,967.69,-3.01,3.99,3.99,2.047794117647059,557.0,1.0,13.0,2.0,272,-0.5731041971745363,4.086717649131717,0.09897977671983332,5.811761282627072,1.8000319024053173,1.8000319024053173,2.047794117647059,-0.039936088239591334,-1.1241696624714284,-0.5820528753555099
44,1380004719,3.5738020833333337,686.1700000000001,1.99,3.99,3.99,2.109375,405.0,1.0,18.0,1.5,192,-0.8842460393884617,5.269495337745734,0.11213561544530543,3.509845719362695,1.7413536405857712,1.7413536405857712,2.109375,-0.8755253089056004,-1.7368822005303075,-1.306203754717954
45,1380010018,3.712716297785211,1054.411428571,1.99,3.99,3.99,2.897887323943662,823.0,1.0,12.0,2.0,284,-0.5531316912298043,4.9515083687940535,0.021744756542967772,3.850776303246743,2.7445129207871344,2.7445129207871344,2.897887323943662,-0.4674041091170696,-0.7551071012440354,-0.6112556051805524
46,1380010067,5.529823008849558,1249.74,2.99,5.79,5.69,1.5,339.0,1.0,7.0,1.0,226,-0.4206107089445908,3.825902776090322,0.08217148342859543,2.5682767563459956,1.3905667713011414,1.4326278421956,1.4999999999999991,-0.8808468573935638,-1.6471644343771032,-1.2640056458853335
47,1380010070,3.8364270833343754,1227.656666667,2.49,3.99,3.99,2.334375,747.0,1.0,10.0,2.0,320,-2.2462173912010135,10.951824234660254,0.2903779644195309,5.35874293056973,1.9894168437682094,1.9894168437682094,2.3343749999999996,-1.8471744053582173,-4.065842496763523,-2.95650845106087
48,1380010072,3.7614865844822334,1482.025714286,1.99,3.99,3.99,2.512690355329949,990.0,1.0,19.0,2.0,394,-1.8887854606762946,9.617331526628929,0.2642729092606155,5.858648459883103,2.081077538530513,2.081077538530513,2.512690355329952,-1.297680631239428,-3.18712122546828,-2.242400928353854
49,1380010115,3.602007299270073,986.95,1.99,3.99,3.99,2.0145985401459856,552.0,1.0,13.0,1.0,274,-0.8535434933656183,5.08906843349342,0.15036283490576657,3.3905168816958398,1.6834298949646027,1.6834298949646027,2.0145985401459856,-0.8830563406393604,-1.752314387404776,-1.3176853640220683
50,1380010170,3.6374038461538465,756.58,1.99,3.99,3.99,1.9807692307692308,412.0,1.0,11.0,1.0,208,-1.058736614804665,5.831821865523624,0.2018694194929101,3.7249360020623405,1.60746277245301,1.60746277245301,1.9807692307692317,-1.0442072022810978,-2.250526643921928,-1.647366923101513
51,1380010172,3.8370820668693013,1262.4,2.49,3.99,3.99,2.094224924012158,689.0,1.0,15.0,2.0,329,-2.153406188020564,10.357021190751249,0.2781995734808478,4.9950397825800446,1.7649305005491982,1.7649305005491982,2.0942249240121598,-1.9218886921010037,-4.3675066439846475,-3.1446976680428254
52,1380010201,5.420285714285715,948.5500000000001,2.99,5.79,5.69,1.582857142857143,277.0,1.0,5.0,1.0,175,-0.005170124892339378,1.610880696952163,1.7993279020338635e-05,1.5954220235240681,1.5809456738255179,1.5814626863147518,1.582857142857143,-0.013681059858760959,-0.018319276067413758,-0.01600016796308736
53,1380010321,3.8669034090909093,1361.15,2.49,3.99,3.99,1.8977272727272727,668.0,1.0,11.0,1.0,352,-1.743850370197182,8.6410282141872,0.22848922269778305,4.298840792396216,1.6830652371004433,1.6830652371004433,1.8977272727272725,-1.7889722579897125,-3.8263216539195395,-2.8076469559546258
54,1380010323,3.714318181818182,490.29,2.49,3.99,3.99,2.053030303030303,271.0,1.0,8.0,1.0,132,-0.4655116462114204,3.7820886744014954,0.02512839172896782,2.6229646753350586,1.924697206017928,1.924697206017928,2.0530303030303036,-0.6176615637528513,-0.9016328623809889,-0.7596472130669201
55,1380010334,9.717272727272729,2137.8,5.99,9.99,9.99,1.3954545454545455,307.0,1.0,5.0,1.0,220,-0.1369168356997972,2.7259127789046658,0.016065162591345553,1.9057809330628803,1.3581135902636916,1.3581135902636916,1.3954545454545453,-0.6514500687051044,-0.9799130760885597,-0.815681572396832
56,1380010340,3.545427872860636,1450.0800000000002,2.49,3.99,3.49,2.770171149144254,1133.0,1.0,14.0,2.0,409,-2.011837044950759,9.902994283966253,0.11535551927784284,4.893520042038863,1.8757644746127244,2.8816829970881033,2.7701711491442556,-1.5843928302746322,-3.263078564122718,-2.423735697198675
57,1380010342,5.541315789473685,1263.42,2.99,5.79,5.69,1.6754385964912282,382.0,1.0,7.0,1.0,228,-0.28351698996533614,3.2464957695701973,0.025727135987197686,2.398779969573842,1.604932397670901,1.6332840966674345,1.675438596491228,-0.5936777651601063,-0.979346711300512,-0.7865122382303091
58,1380010390,3.6525628140703517,726.86,1.99,3.99,3.88,1.6582914572864322,330.0,1.0,7.0,1.0,199,-0.6421186259016559,4.003670072476773,0.14188602865799352,2.7258540069324777,1.4416167551291652,1.5122498039783476,1.658291457286433,-0.826431219106493,-1.5830894324170468,-1.2047603257617698
59,1380010393,3.829046153846154,1244.44,2.49,3.99,3.99,2.190769230769231,712.0,1.0,14.0,2.0,325,-1.147449515532117,6.5844063849501175,0.06924027115860261,3.727257091275146,2.0060828179769707,2.0060828179769707,2.1907692307692326,-1.2252034805669936,-2.1377834188446987,-1.681493449705846
60,1380010585,3.3316470588235294,566.38,1.99,3.99,3.49,1.7823529411764707,303.0,1.0,5.0,2.0,170,-0.20044987612323587,2.4501811814039907,0.013791803573324926,2.051285927918751,1.6503861756722795,1.7506111137338976,1.782352941176471,-0.27825351582073166,-0.42753707637022675,-0.3528952960954792
61,1380010935,3.54,14.16,3.54,3.54,3.54,1.25,5.0,1.0,2.0,1.0,4,inf,0.0,0.0,inf,inf,inf,inf,,,
62,1380011277,4.296578947368421,163.27,3.44,4.49,4.49,1.131578947368421,43.0,1.0,4.0,1.0,38,-0.34671933289444784,2.6212859337283287,0.07318159965291211,1.4285714285714282,1.0645161290322578,1.0645161290322578,1.1315789473684208,-1.0477593491093555,-1.3872244529818125,-1.217491901045584
63,1380011557,4.69,37.52,4.69,4.69,4.69,1.25,10.0,1.0,3.0,1.0,8,inf,0.0,0.0,inf,inf,inf,inf,,,
64,1380012007,3.8726701570680633,1479.3600000000001,2.49,3.99,3.99,3.1387434554973823,1199.0,1.0,11.0,3.0,382,-0.7986945879340371,6.231824150801303,0.019124238911925037,4.24307462684555,3.045032744944494,3.045032744944494,3.1387434554973828,-0.6884252852851039,-1.015540003002047,-0.8519826441435754
65,1380012009,3.660407239819005,808.95,1.99,3.99,3.99,1.83710407239819,406.0,1.0,8.0,1.0,221,-1.214828109340048,6.2838696789621356,0.34834386650326854,3.86636174137544,1.4367055226953438,1.4367055226953438,1.8371040723981906,-1.203526727130319,-2.8388730293782447,-2.021199878254282
66,1380013520,3.455232558139535,594.3000000000001,-1.0,3.99,3.88,1.6453488372093024,283.0,1.0,10.0,1.0,172,-0.5390613125928388,3.5079310353135122,0.14572168738593055,4.046992347906351,1.3570763980680853,1.4163731424532977,1.6453488372093021,-0.23250905777962094,-1.336731648866135,-0.7846203533228779
67,1380013645,6.137222222222222,220.94,4.64,6.99,6.29,1.0555555555555556,38.0,1.0,2.0,1.0,36,-0.04520259094180484,1.3329739011856212,0.023797834642891383,1.1232338792156467,1.0170077905024053,1.0486496041616689,1.0555555555555556,-0.223591302502895,-0.2863046176329934,-0.2549479600679442
68,1380014331,10.456409266409267,2708.21,8.99,10.99,10.99,1.3011583011583012,337.0,1.0,5.0,1.0,259,-0.048486962328328165,1.808157823348269,0.0029135526905211258,1.3722600320165987,1.2752861073599424,1.2752861073599424,1.3011583011583012,-0.35269351669398935,-0.4036070930699176,-0.37815030488195345
69,1380014333,10.47,3088.65,8.99,10.99,10.99,1.5016949152542374,443.0,1.0,6.0,1.0,295,-0.26433632747675334,4.2692962639358445,0.05058642695957197,1.892912679919832,1.3642400249663251,1.3642400249663251,1.501694915254237,-1.5153400764231324,-1.9793392753062868,-1.7473396758647097
70,1380014406,3.5001714285714285,612.53,0.99,3.99,3.99,1.6228571428571428,284.0,1.0,7.0,1.0,175,-0.6823753682004138,4.01128791019314,0.2600088275881762,3.3357362956747303,1.2886101910734888,1.2886101910734888,1.6228571428571428,-0.6179136119620209,-1.7555094734844172,-1.186711542723219
71,1380015650,3.572182680900356,1003.783333333,1.79,3.99,3.99,2.323843416370107,653.0,1.0,14.0,2.0,281,-1.7933142967473177,8.729889688621878,0.3438699181250318,5.519857097444179,1.5745656446000798,1.5745656446000798,2.3238434163701083,-1.2259620119985044,-3.4786935142456765,-2.3523277631220907
72,1380016156,4.366344086021505,406.07,2.99,4.49,4.49,1.3870967741935485,129.0,1.0,3.0,1.0,93,-0.34126663977410254,2.877184348527633,0.045566852469837604,1.8567970956030664,1.3448971359419126,1.3448971359419126,1.3870967741935492,-0.7739078182036981,-1.1062889912408151,-0.9400984047222567
73,1380016607,3.438060606060606,567.28,-1.0,3.99,3.99,1.709090909090909,282.0,1.0,10.0,1.0,165,-0.7442066744282191,4.26771855920994,0.22415855652208616,5.011925233638159,1.2983339282413455,1.2983339282413455,1.709090909090909,-0.26996229992003357,-1.8381215092947314,-1.0540419046073826
74,1380016608,3.6023692152922537,1023.0728571430001,1.99,3.99,3.99,2.334507042253521,663.0,1.0,21.0,2.0,284,-1.8299459297252774,8.926647925145222,0.32496246928424005,5.28505552499192,1.6251636655413648,1.6251636655413648,2.334507042253521,-1.3430867182634887,-3.508782969034521,-2.4259348436490047
75,1380016635,3.662121212121212,845.95,1.99,3.99,3.99,1.878787878787879,434.0,1.0,9.0,1.0,231,-0.9755398037230557,5.451332887270645,0.18150618221452772,3.510008677861764,1.5589290704156529,1.5589290704156529,1.8787878787878793,-1.0232097574898547,-2.1714844286605035,-1.5973470930751792
76,1380016651,3.2459288537549407,821.22,0.99,3.49,3.49,1.7826086956521738,451.0,1.0,9.0,1.0,253,-1.1380840323781278,5.476748494346112,0.20273003086494976,4.350045302291766,1.504835221346446,1.504835221346446,1.7826086956521752,-0.7860940780883025,-2.331919042650187,-1.5590065603692447
77,1380016668,3.2289189189189194,716.82,1.99,3.49,3.49,1.7207207207207207,382.0,1.0,10.0,1.0,222,-1.4228504567710607,6.314989479381226,0.25939137492448705,3.483517070406815,1.3492413852502239,1.3492413852502239,1.7207207207207222,-1.426864310522996,-3.114050441924897,-2.2704573762239466
78,1380016686,3.276681614349776,730.7,-3.01,3.49,3.49,1.6053811659192825,358.0,1.0,7.0,1.0,223,-0.26122024386412496,2.461316736284826,0.021552730813108267,3.247589670315842,1.54965808519903,1.54965808519903,1.605381165919283,-0.014354637331505264,-0.5602447642528711,-0.28729970079218814
79,1380016689,3.14,15.700000000000001,3.14,3.14,3.14,1.4,7.0,1.0,2.0,1.0,5,inf,0.0,0.0,inf,inf,inf,inf,,,
80,1380016695,3.640383141762452,950.14,0.99,3.99,3.99,1.8773946360153257,490.0,1.0,12.0,1.0,261,-1.2451999588041156,6.410399574169128,0.2675633700741246,5.177651614953054,1.442051738540707,1.442051738540707,1.8773946360153264,-0.8172523173152074,-2.862330552049663,-1.8397914346824351
81,1380017115,3.204960317460318,807.6500000000001,1.99,3.49,3.49,2.261904761904762,570.0,1.0,20.0,1.0,252,-2.878166610848399,11.486314536713138,0.32151520521507276,5.758762981124824,1.4415130648522236,1.4415130648522236,2.2619047619047663,-1.8641791194244113,-5.203088646236546,-3.533633882830479
82,1380017219,3.393357142857143,475.07,1.99,3.99,3.49,1.8,252.0,1.0,9.0,1.0,140,-1.0432109339024802,5.339987274064653,0.2413998782417333,3.263997515598717,1.1775756477937565,1.6991811147449964,1.8000000000000007,-1.1090007479726436,-2.5868020871418205,-1.8479014175572321
83,1380017420,3.3091578947368423,943.11,0.99,3.49,3.49,1.8701754385964913,533.0,1.0,9.0,1.0,285,-0.7618815844155236,4.391361898519736,0.06266007302922028,3.6370991299483677,1.7323951689095582,1.7323951689095582,1.8701754385964922,-0.594749578530648,-1.4379046947034002,-1.0163271366170241
84,1380018803,3.2197210599707113,769.513333333,-1.0,3.49,3.49,2.0,478.0,1.0,12.0,1.0,239,-1.227746243826682,5.953000437548706,0.17282549363395017,7.180746681375388,1.6681660465935861,1.6681660465935861,2.000000000000002,-0.29684450386270156,-2.2457638841496315,-1.2713041940061665
85,1380018805,3.189668874172186,481.64000000000004,1.99,3.49,3.49,1.5165562913907285,229.0,1.0,6.0,1.0,151,-0.589080648427738,3.3955285000578526,0.11126242511646194,2.2232580096866537,1.3396370370450468,1.3396370370450468,1.5165562913907282,-0.8158808040707547,-1.3776601298326336,-1.0967704669516942
86,1380018807,3.4989340101522846,689.2900000000001,1.99,3.99,3.99,1.5888324873096447,313.0,1.0,8.0,1.0,197,-0.6607981095243328,3.900921466568667,0.19731130386785597,2.5859332286152448,1.264337009566579,1.264337009566579,1.5888324873096447,-0.8688097641926935,-1.7344477577231698,-1.3016287609579318
87,1380019003,13.229285714285714,2222.52,9.99,14.99,13.99,1.3630952380952381,229.0,1.0,5.0,1.0,168,0.018405602663428715,1.1196022617171215,0.0027557315864934805,1.3034742323247743,1.395502245641918,1.3770966429784892,1.3630952380952381,0.1602676966516292,0.18828153196140626,0.17427461430651775
88,1380019020,10.44108695652174,1921.16,8.99,10.99,10.99,1.3315217391304348,245.0,1.0,4.0,1.0,184,-0.004185655115132827,1.3752245281575466,2.2119433033402833e-05,1.3375954886725026,1.3292241784422367,1.3292241784422367,1.3315217391304348,-0.03047143365040715,-0.033713530536678395,-0.032092482093542776
89,1380019021,10.445980861244019,2183.21,8.99,10.99,10.99,1.3157894736842106,275.0,1.0,4.0,1.0,209,-0.260967946876931,4.041855652158778,0.09226960093210293,1.695753809735168,1.173817915981306,1.173817915981306,1.3157894736842106,-1.6842421122830808,-2.2469823707438517,-1.9656122415134663
90,1380019074,10.462384937238495,2500.51,8.99,10.99,10.99,1.3430962343096233,321.0,1.0,4.0,1.0,239,-0.08837908363901051,2.267752227741348,0.010951303342809495,1.4732242658266437,1.2964660985486227,1.2964660985486227,1.3430962343096235,-0.6104361897956025,-0.7182789733824665,-0.6643575815890346
91,1380019086,10.532941176470588,1790.6000000000001,8.99,10.99,10.99,1.3235294117647058,225.0,1.0,4.0,1.0,170,0.06025460041126974,0.6888712500210612,0.004612322832784497,1.230560107718376,1.3510693085409158,1.3510693085409158,1.3235294117647058,0.460573918990529,0.48487880085253243,0.4727263599215307
92,1380020031,17.59264900662252,2656.4900000000002,14.99,18.69,18.49,1.218543046357616,184.0,1.0,4.0,1.0,151,-0.10215539848647573,3.01572711606184,0.07322748175418571,1.484417692749569,1.1064427183496086,1.1268737980469041,1.2185430463576155,-1.2314250239964377,-1.5941897467416117,-1.4128073853690246
93,1380021450,3.5003891050583658,899.6,2.49,3.99,3.49,1.9027237354085602,489.0,1.0,8.0,1.0,257,-0.3801698635722593,3.2334661839284227,0.011512731484073871,2.286843223633497,1.716588428275108,1.9066733600612376,1.9027237354085609,-0.5435801435037825,-0.7867849125439678,-0.6651825280238751
94,1380023056,14.026279069767442,3015.65,11.59,14.99,13.99,1.2697674418604652,273.0,1.0,5.0,1.0,215,-0.1720403533175278,3.6828534487535016,0.10736200655199468,1.6889057538033545,1.1039685525237601,1.2760089058412878,1.2697674418604659,-1.4895304112336751,-2.1030017301556523,-1.7962660706946636
95,1380023212,3.54,3.54,3.54,3.54,3.54,1.0,1.0,1.0,1.0,1.0,1,inf,0.0,0.0,inf,inf,inf,inf,,,
